#Angstrom	X	Y	Z
5090	0.01190224000000	0.50114300000000	0.12682790000000
5091	0.01223616000000	0.50306370000000	0.12586860000000
5092	0.01257723000000	0.50498790000000	0.12491910000000
5093	0.01292550000000	0.50691550000000	0.12397930000000
5094	0.01328103000000	0.50884640000000	0.12304940000000
5095	0.01364388000000	0.51078050000000	0.12212940000000
5096	0.01401411000000	0.51271770000000	0.12121940000000
5097	0.01439176000000	0.51465810000000	0.12031940000000
5098	0.01477691000000	0.51660150000000	0.11942940000000
5099	0.01516960000000	0.51854790000000	0.11854940000000
5100	0.01556989000000	0.52049720000000	0.11767960000000
5101	0.01597780000000	0.52244930000000	0.11681990000000
5102	0.01639326000000	0.52440420000000	0.11597000000000
5103	0.01681617000000	0.52636180000000	0.11512980000000
5104	0.01724643000000	0.52832210000000	0.11429890000000
5105	0.01768394000000	0.53028520000000	0.11347720000000
5106	0.01812860000000	0.53225080000000	0.11266430000000
5107	0.01858030000000	0.53421900000000	0.11186010000000
5108	0.01903895000000	0.53618970000000	0.11106430000000
5109	0.01950445000000	0.53816300000000	0.11027670000000
5110	0.01997668000000	0.54013870000000	0.10949700000000
5111	0.02045555000000	0.54211680000000	0.10872520000000
5112	0.02094096000000	0.54409730000000	0.10796080000000
5113	0.02143280000000	0.54608010000000	0.10720390000000
5114	0.02193097000000	0.54806510000000	0.10645400000000
5115	0.02243536000000	0.55005240000000	0.10571110000000
5116	0.02294587000000	0.55204190000000	0.10497500000000
5117	0.02346239000000	0.55403350000000	0.10424540000000
5118	0.02398482000000	0.55602730000000	0.10352220000000
5119	0.02451305000000	0.55802300000000	0.10280520000000
5120	0.02504698000000	0.56002080000000	0.10209430000000
5121	0.02558648000000	0.56202050000000	0.10138920000000
5122	0.02613147000000	0.56402210000000	0.10068970000000
5123	0.02668182000000	0.56602550000000	0.09999584000000
5124	0.02723744000000	0.56803070000000	0.09930729000000
5125	0.02779819000000	0.57003770000000	0.09862394000000
5126	0.02836399000000	0.57204640000000	0.09794564000000
5127	0.02893471000000	0.57405680000000	0.09727223000000
5128	0.02951025000000	0.57606870000000	0.09660358000000
5129	0.03009048000000	0.57808220000000	0.09593952000000
5130	0.03067530000000	0.58009720000000	0.09527993000000
5131	0.03126458000000	0.58211360000000	0.09462466000000
5132	0.03185822000000	0.58413140000000	0.09397359000000
5133	0.03245611000000	0.58615060000000	0.09332657000000
5134	0.03305811000000	0.58817100000000	0.09268349000000
5135	0.03366411000000	0.59019260000000	0.09204421000000
5136	0.03427400000000	0.59221540000000	0.09140862000000
5137	0.03488765000000	0.59423940000000	0.09077659000000
5138	0.03550495000000	0.59626430000000	0.09014801000000
5139	0.03612577000000	0.59829030000000	0.08952277000000
5140	0.03674999000000	0.60031720000000	0.08890075000000
